127.0.0.1 - - [01/Aug/2022:18:46:16 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:18 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:18 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:32 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:46:44 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:49:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [01/Aug/2022:18:49:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:00:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:04:09 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7158
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:04:32 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:04:52 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5648
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:07:18 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5641
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:07:40 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5648
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:10:27 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:10:41 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:10:41 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:10:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9842
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:10:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:23:17 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7390
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:23:26 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:23:26 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11804
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:23:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:23:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:25:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:40:43 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:40:45 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:40:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9842
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:40:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:19:45:58 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:02:50 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7390
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9842
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:51 +0530] "GET /project_3/ctl/MyProfileCtl HTTP/1.1" 200 16662
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:04:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:05:48 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:06:48 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18269
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:07:02 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15045
0:0:0:0:0:0:0:1 - - [01/Aug/2022:20:07:18 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 13333
