0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:57:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:57:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:59:41 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17067
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:59:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:59:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:59:48 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18264
0:0:0:0:0:0:0:1 - - [31/Jul/2022:20:59:55 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 15596
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:06 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:06 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16729
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:36 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17064
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:44 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18264
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:46 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 16133
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:55 +0530] "GET /project_3/ctl/StudentCtl?id=27 HTTP/1.1" 200 16797
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:00:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:04 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17011
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:07 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:07 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18264
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:10 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 16115
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:18 +0530] "GET /project_3/ctl/StudentCtl?id=27 HTTP/1.1" 200 16797
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:26 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17011
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:29 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:29 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18264
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:32 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 16115
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:01:45 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 18548
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:28:33 +0530] "POST /project_3/ctl/StudentListCtl HTTP/1.1" 200 15596
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:28:42 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16755
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:28:45 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14073
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:28:48 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:28:49 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:03 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16755
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:06 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14073
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:10 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:10 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:32 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15337
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:40 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:44 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14493
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:29:58 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:30:04 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14493
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:30:06 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:31:07 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14493
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:31:11 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:31:11 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15036
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:31:57 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15334
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:04 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15337
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:08 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16821
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:11 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14912
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:20 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17090
0:0:0:0:0:0:0:1 - - [31/Jul/2022:21:32:28 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 13352
