127.0.0.1 - - [02/Aug/2022:18:06:33 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:35 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:36 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:36 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:44 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:53 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:53 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9842
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:06:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:07:02 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18269
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:07:13 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13501
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:07:27 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13748
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:07:38 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:07:39 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18269
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:08:44 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 18566
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:08:53 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:08:55 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18190
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:08:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:11:55 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18565
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:11:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:12:24 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:12:27 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13442
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:17:16 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13442
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:17:19 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:17:20 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18184
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:17:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:18:35 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:18:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:08 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:20 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:23 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13956
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:39 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20021
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:44 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15673
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:51 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20021
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:19:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:24 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15673
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:32 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:33 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17375
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:20:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:21:41 +0530] "POST /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:21:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:21:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:03 +0530] "POST /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17709
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:28 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20021
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:30 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16160
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:22:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:23:00 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16656
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:23:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:23:10 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15697
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:23:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:24:03 +0530] "POST /project_3/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:24:04 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20021
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:24:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:25:45 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:26:03 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13956
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:26:08 +0530] "GET /project_3/ctl/UserCtl?id=14 HTTP/1.1" 200 17245
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:26:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:26:20 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:26:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:18:30:57 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7390
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:14:39 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:14:39 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:13 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:25 +0530] "GET /project_3/WelcomeCtl/ctl/ HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:26 +0530] "GET /project_3/img/404.jpg HTTP/1.1" 200 89799
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:26 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:33 +0530] "GET /project_3/WelcomeCtl/ctl HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:49 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:49 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [02/Aug/2022:19:28:57 +0530] "GET /project_3/ctl/ HTTP/1.1" 200 7411
