127.0.0.1 - - [18/Aug/2022:14:17:08 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:08 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:09 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:30 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:55 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9888
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:17:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:18:21 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18218
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:18:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:19:24 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18220
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:19:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:19:24 +0530] "GET /project_3/img/image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:19:31 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18468
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:19:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:21:28 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18498
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:21:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:21:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:24:21 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18505
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:24:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:24:51 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18505
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:24:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:24:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:25:25 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:28:01 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:28:17 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:28:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9888
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:28:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:28:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:29:03 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18283
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:29:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:29:12 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18283
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:29:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:29:19 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15077
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:30:56 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15138
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:30:56 +0530] "GET /project_3/img/images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:31:05 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15332
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:31:25 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:31:25 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15138
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:31:46 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:01 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15136
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:08 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15136
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:14 +0530] "POST /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15330
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:22 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 12469
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:22 +0530] "GET /project_3/img/Login.jpg HTTP/1.1" 200 1430090
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:32:27 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13894
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:33:11 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 13896
0:0:0:0:0:0:0:1 - - [18/Aug/2022:14:33:11 +0530] "GET /project_3/img/images3.jpg HTTP/1.1" 304 -
