127.0.0.1 - - [17/Aug/2022:18:12:28 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:12:29 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:12:29 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:12:29 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:12:29 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:15:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:15:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:15:17 +0530] "GET /project_3/img/wback.jpg HTTP/1.1" 200 946405
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:15:27 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:15:27 +0530] "GET /project_3/img/white.png HTTP/1.1" 200 1172603
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:16:12 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:16:14 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:16:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:13 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:19 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:37 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9888
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:44 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16777
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:44 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:44 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:45 +0530] "GET /project_3/img/background-g1d93e894b_1920.jpg HTTP/1.1" 200 136107
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:54 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 17258
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:59 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 17581
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:17:59 +0530] "GET /project_3/img/welc.jpg HTTP/1.1" 200 137385
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:05 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20497
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:05 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 200 194173
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:32 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:38 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:38 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:49 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:49 +0530] "GET /project_3/img/whit2.jpg HTTP/1.1" 200 311958
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:18:51 +0530] "POST /project_3/ForgetPasswordCtl HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:02 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:09 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:39 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 7427
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:53 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:19:53 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18830
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:20:23 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 17581
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:20:33 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 17464
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:20:34 +0530] "GET /project_3/img/bg3.png HTTP/1.1" 200 99939
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:20:37 +0530] "GET /project_3/ctl/RoleListCtl HTTP/1.1" 200 14068
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:20:37 +0530] "GET /project_3/img/cyber2.jpg HTTP/1.1" 200 61972
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:21:47 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18830
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:21:52 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18251
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13265
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:35 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9888
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:45 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18251
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:22:56 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16777
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:24:37 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18251
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:24:45 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13488
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:24:49 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 10737
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:24:57 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:24:57 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18256
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:26:53 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 18284
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:27:34 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 18285
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:27:34 +0530] "GET /project_3/img/image1.jpg HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:06 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18256
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:16 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:17 +0530] "GET /project_3/img/image2.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:19 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:19 +0530] "GET /project_3/img/image2.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:29:56 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18256
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:30:30 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:30:30 +0530] "GET /project_3/img/image3.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:30:34 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18258
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:30:35 +0530] "GET /project_3/img/image3.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:20 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18259
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:20 +0530] "GET /project_3/img/images3.jpg HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:36 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:36 +0530] "GET /project_3/img/image2.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:56 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16758
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:31:56 +0530] "GET /project_3/img/images2.jpg HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:32:16 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18259
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:32:16 +0530] "GET /project_3/img/images3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:33:11 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18290
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:33:11 +0530] "GET /project_3/img/images3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:33:42 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7392
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:34:33 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:34:33 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [17/Aug/2022:18:34:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
