127.0.0.1 - - [10/Aug/2022:15:59:18 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:22 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:58 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9887
0:0:0:0:0:0:0:1 - - [10/Aug/2022:15:59:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:03 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:10 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:14 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:14 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:22 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 14112
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:41 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16990
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:00:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2022:16:01:49 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17148
