127.0.0.1 - - [12/Aug/2022:09:01:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:01:34 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:01:35 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:01:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3800
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:01:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:01:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:02:12 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:02:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9887
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:02:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:05:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9887
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:05:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:05:11 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 12888
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:05:14 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 13021
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:06:36 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:07:07 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 13207
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:07:17 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15084
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:07:28 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 12888
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:07:56 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 13197
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:02 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:02 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 12888
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:06 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15533
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:28 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 13402
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:31 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:31 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15533
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:35 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 14263
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:41 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 13414
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:53 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 13414
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:08:58 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 10753
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:00 +0530] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:00 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15084
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:08 +0530] "GET /project_3/ctl/CourseCtl?id=6 HTTP/1.1" 200 13002
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:12 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:16 +0530] "POST /project_3/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:16 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15084
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:38 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17544
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:40 +0530] "GET /project_3/ctl/CollegeCtl?id=2 HTTP/1.1" 200 14013
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:43 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14227
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:46 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:09:46 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17544
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:00 +0530] "GET /project_3/ctl/CollegeCtl?id=7 HTTP/1.1" 200 14025
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:07 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14239
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:11 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:11 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17544
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:22 +0530] "GET /project_3/ctl/CollegeCtl?id=7 HTTP/1.1" 200 14025
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:31 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:33 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:34 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17549
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:59 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16990
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:10:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:01 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 200 17188
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:06 +0530] "POST /project_3/ctl/StudentCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:06 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 16990
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/Aug/2022:09:11:37 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 18543
