127.0.0.1 - - [15/Sep/2022:16:29:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:41 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:41 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:41 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:45 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:49 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:29:49 +0530] "GET /project_3/img/white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:04 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:12 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:13 +0530] "GET /project_3/img/wallpa.jpg HTTP/1.1" 200 866172
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:13 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Sep/2022:16:30:20 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1764
