127.0.0.1 - - [24/Sep/2022:14:29:23 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:29:25 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:29:25 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:29:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:29:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:29:45 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:34:11 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:35:32 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5697
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:35:33 +0530] "GET /project_3/img/whit2.jpg HTTP/1.1" 200 311958
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:36:14 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:36:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:36:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:36:23 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:39:56 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:41:24 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:41:44 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:41:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:41:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:42:37 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:42:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [24/Sep/2022:14:42:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
