127.0.0.1 - - [06/Sep/2022:10:02:44 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:02:46 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:02:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:02:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:03:07 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:18 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:38 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 15487
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:38 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:38 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [06/Sep/2022:10:04:38 +0530] "GET /project_3/img/images2.jpg HTTP/1.1" 200 2738
