127.0.0.1 - - [27/Sep/2022:14:30:57 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:31:06 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:31:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:31:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:31:30 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:32:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:32:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:32:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:35:18 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13287
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:17 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:21 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:23 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:26 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7239
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:46:32 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:49:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:49:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [27/Sep/2022:14:51:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
